scan,side,vessel,err,bed,meas_lost,clean,nout_clean,nout_bad,A,B,C,r_branch,branch_before_meas
43,right,RCA,T4,share,False,0.7725762445857864,1.0,1.0,0.7923918175273053,0.7928312217325959,0.9962824455462108,,
43,right,RCA,T4,leaf3,False,0.772576244585834,1.0,1.0,0.7923918175273053,0.7928312217325959,0.9962824455462108,,
43,right,RCA,T4,apport,False,0.772576244585834,1.0,1.0,0.7923918175273053,0.7928312217330139,0.9962824455462108,,
45,left,LAD,T4,leaky,False,0.8376887948711214,9.0,9.0,0.8344713434838122,0.8576370415038351,0.997479231961396,,
45,left,LAD,T4,share,True,,,,,,,,
45,left,LAD,T4,leaf3,True,,,,,,,,
45,left,LAD,T4,apport,True,,,,,,,,
45,left,LCX,T1,leaky,False,0.7833318450859249,9.0,7.0,0.8604699444032884,0.7945869117260608,0.8182582672552179,1.1083188338636354,True
45,left,LCX,T1,share,False,0.7565383521239699,6.0,5.0,0.8621129758047944,0.7529670551647945,0.8807843687869921,1.1083188338636354,True
45,left,LCX,T1,leaf3,False,0.6912108058590276,6.0,5.0,0.774342203350491,0.7008813078476384,0.8072082176251955,1.1083188338636354,True
45,left,LCX,T1,apport,False,0.7312559068722129,6.0,5.0,0.818063745301682,0.7355675910300442,0.8401165144939416,1.1083188338636354,True
45,left,LCX,T4,leaky,False,0.7833318450859249,9.0,9.0,0.7808330969843562,0.8111953748874905,0.99753680151542,,
45,left,LCX,T4,share,False,0.7565383521239699,6.0,3.0,0.7554242329074453,0.7557841206315105,0.7623287363688058,,
45,left,LCX,T4,leaf3,False,0.6912108058590276,6.0,3.0,0.6946893652685451,0.7251190328018696,0.8493184855049346,,
45,left,LCX,T4,apport,False,0.7312559068722129,6.0,3.0,0.7328855220502072,0.7587507666778533,0.8303550794350736,,
52,left,LAD,T1,leaky,False,0.8877835542207998,8.0,7.0,0.9191837808422577,0.8876174251879846,0.8875805148284762,0.8244338260652109,False
52,left,LAD,T1,share,False,0.7960559256883034,7.0,6.0,0.8669075630737324,0.8036692906271659,0.8332892872136995,0.8244338260652109,False
52,left,LAD,T1,leaf3,False,0.7691364161067483,7.0,6.0,0.8424765095234211,0.8150347158581016,0.8487864381367112,0.8244338260652109,False
52,left,LAD,T1,apport,False,0.7657699895900136,7.0,6.0,0.8419345961421777,0.7786755876848438,0.8096069125227361,0.8244338260652109,False
52,left,LAD,T4,leaky,False,0.8877835542207998,8.0,8.0,0.8861126366354803,0.8835879467177146,0.9976456981869529,,
52,left,LAD,T4,share,False,0.7960559256883034,7.0,6.0,0.8011463091375741,0.7925974517073942,0.8047149614456851,,
52,left,LAD,T4,leaf3,False,0.7691364161067483,7.0,6.0,0.7769919922835928,0.8354782646442763,0.8716546892503215,,
52,left,LAD,T4,apport,False,0.7657699895900136,7.0,6.0,0.7737034416705681,0.7781048797973025,0.7987408051173926,,
52,left,LCX,T1,leaky,False,0.842051458219576,8.0,7.0,0.8802466229380881,0.8655194593777875,0.8768280704929455,0.8455382586773934,False
52,left,LCX,T1,share,False,0.7560198348656737,7.0,6.0,0.8366906064027148,0.7578390841780094,0.7980991159294196,0.8455382586773934,False
52,left,LCX,T1,leaf3,False,0.7895338172597729,7.0,6.0,0.8703830778409698,0.8455298309158208,0.8766892212790276,0.8455382586773934,False
52,left,LCX,T1,apport,False,0.7945101498825126,7.0,6.0,0.8646960076663185,0.823790162677249,0.8544428929530231,0.8455382586773934,False
52,left,LCX,T4,leaky,False,0.842051458219576,8.0,8.0,0.8400584797663941,0.865411838480748,0.997707421857983,,
52,left,LCX,T4,share,False,0.7560198348656737,7.0,5.0,0.7581433406713595,0.7445984790187878,0.7409068236821199,,
52,left,LCX,T4,leaf3,False,0.7895338172597729,7.0,5.0,0.7905919854055807,0.9173563395614113,0.9446283383282131,,
52,left,LCX,T4,apport,False,0.7945101498825126,7.0,5.0,0.7951129529160416,0.8242832881100869,0.841787838612064,,
52,right,RCA,T1,leaky,False,0.8218716423085862,2.0,1.0,0.8784793475514128,0.8195269832555706,0.816942275527582,0.8383097922150478,False
52,right,RCA,T1,share,False,0.8000181511964967,2.0,1.0,0.9020950470259087,0.7922853176279301,0.9220361975157289,0.8383097922150478,False
52,right,RCA,T1,leaf3,False,0.8016003298153556,2.0,1.0,0.9108302944662666,0.7922853176279301,0.9298538231422492,0.8383097922150478,False
