scan,side,vessel,err,bed,meas_lost,clean,nout_clean,nout_bad,A,B,C,r_branch,branch_before_meas
368,right,RCA,T4,apport,False,0.7941022057240662,3.0,1.0,0.8034955403245637,0.8297480013864788,0.9963318227008673,,
377,left,LAD,T4,leaky,False,0.9334357870998709,7.0,7.0,0.9271734251578488,0.9388141232786613,0.9984578277342293,,
377,left,LAD,T4,share,False,0.9113469065562873,5.0,5.0,0.9085355925862557,0.9079282410574718,0.9107133580368797,,
377,left,LAD,T4,leaf3,False,0.9277956003128573,5.0,5.0,0.9236811094921417,0.9198869147494458,0.9197722102667609,,
377,left,LAD,T4,apport,False,0.9122441827225368,5.0,5.0,0.9093367439285206,0.9134249461708801,0.9158680561168554,,
377,right,RCA,T1,leaky,False,0.7606534040048253,2.0,1.0,0.8074628307936619,0.7634394877262719,0.7905667755424132,0.8412211413206532,False
377,right,RCA,T1,share,False,0.7249083331540306,2.0,1.0,0.853041874450246,0.7396088641417581,0.8934207829466942,0.8412211413206532,False
377,right,RCA,T1,leaf3,False,0.7251319679713083,2.0,1.0,0.8667591657163664,0.7396088641417016,0.9060362387182691,0.8412211413206532,False
377,right,RCA,T1,apport,False,0.7250163128902019,2.0,1.0,0.8619984240862395,0.7396088641417016,0.9017545755213919,0.8412211413206532,False
377,right,RCA,T4,leaky,False,0.7606534040048253,2.0,2.0,0.7641306353137187,0.8218338336039791,0.9953756048799907,,
377,right,RCA,T4,share,False,0.7249083331540306,2.0,1.0,0.7639403397986676,0.7890664181708594,0.9959610540672061,,
377,right,RCA,T4,leaf3,False,0.7251319679713083,2.0,1.0,0.7652283309704597,0.7890664181704884,0.9959610540672061,,
377,right,RCA,T4,apport,False,0.7250163128902019,2.0,1.0,0.764705586063996,0.7890664181704884,0.9959610540672061,,
406,left,LCX,T4,leaky,False,0.8790177853180307,4.0,4.0,0.8735041257250162,0.8956346531952905,0.9979175091286652,,
406,left,LCX,T4,share,False,0.7436095898130543,4.0,4.0,0.7346100265713904,0.7348629254844629,0.7551552130835584,,
406,left,LCX,T4,leaf3,False,0.7310559189664192,4.0,4.0,0.7223910569642581,0.7175962152683474,0.7166615900718959,,
406,left,LCX,T4,apport,False,0.7496015088548756,4.0,4.0,0.7407944699294405,0.7514835653065275,0.7640209756237334,,
417,left,LAD,T1,leaky,False,0.867779358844578,6.0,5.0,0.9039644993533011,0.8935539019821839,0.9050844003152487,0.8862766753774912,False
417,left,LAD,T1,share,False,0.8642288016165777,5.0,4.0,0.9195998838740707,0.8695654658510209,0.8918396823197945,0.8862766753774912,False
417,left,LAD,T1,leaf3,False,0.8260261606800742,5.0,4.0,0.9136116383863951,0.887732804907908,0.9168650332764422,0.8862766753774912,False
417,left,LAD,T1,apport,False,0.8505727790328511,5.0,4.0,0.9172819550256639,0.8788129581664474,0.9024904685378214,0.8862766753774912,False
417,left,LAD,T4,leaky,False,0.867779358844578,6.0,6.0,0.8605143423441477,0.8705929753276963,0.9906027293909462,,
417,left,LAD,T4,share,False,0.8642288016165777,5.0,5.0,0.8619678481905891,0.8513854300041707,0.8486039817958013,,
417,left,LAD,T4,leaf3,False,0.8260261606800742,5.0,5.0,0.8247771148904619,0.8354688327391897,0.8485805090800417,,
417,left,LAD,T4,apport,False,0.8505727790328511,5.0,5.0,0.848584528472046,0.8366495800184882,0.8340733027064823,,
417,right,RCA,T1,leaky,False,0.7958756560042641,3.0,2.0,0.8420859194386892,0.8056741768665934,0.8594892915398124,0.8028271488368187,False
417,right,RCA,T1,share,False,0.748968767761508,2.0,1.0,0.8490754771834352,0.7501966429169892,0.8828658463787824,0.8028271488368187,False
417,right,RCA,T1,leaf3,False,0.7490417295554679,2.0,1.0,0.8785848048029766,0.7501966429169892,0.911262676023982,0.8028271488368187,False
417,right,RCA,T1,apport,False,0.7489835472977886,2.0,1.0,0.8638844504325565,0.7501966429169892,0.8975967584803098,0.8028271488368187,False
417,right,RCA,T4,leaky,False,0.7958756560042641,3.0,3.0,0.8010749648458494,0.813405259284615,0.9963626983557337,,
417,right,RCA,T4,share,False,0.748968767761508,2.0,1.0,0.7702552718001195,0.7360718765643879,0.9943310679113413,,
417,right,RCA,T4,leaf3,False,0.7490417295554679,2.0,1.0,0.7705004086008767,0.7360718765643879,0.9943310679113413,,
417,right,RCA,T4,apport,False,0.7489835472977886,2.0,1.0,0.77023760488059,0.7360718765643879,0.9943310679113413,,
423,right,RCA,T4,leaky,False,0.8065656002664712,2.0,2.0,0.8152490302531389,0.8336745533762577,0.9978793058513057,,
423,right,RCA,T4,share,False,0.804106304211587,1.0,1.0,0.8633565270516663,0.803286848894534,0.9972279614417995,,
423,right,RCA,T4,leaf3,False,0.804106304211133,1.0,1.0,0.8633565270515392,0.803286848894534,0.9972279614417995,,
423,right,RCA,T4,apport,False,0.804106304211587,1.0,1.0,0.8633565270516663,0.803286848894534,0.9972279614417995,,
431,right,RCA,T4,leaky,False,0.8162106332886857,2.0,2.0,0.8137806444127206,0.8585548980107595,0.6905770680790961,,
431,right,RCA,T4,share,False,0.7829328908204645,1.0,1.0,0.7938605478809954,0.8245507487446319,0.9957415358737302,,
431,right,RCA,T4,leaf3,False,0.7829328908204645,1.0,1.0,0.7938605478809526,0.8245507487446319,0.9957415358737302,,
431,right,RCA,T4,apport,False,0.7829328908204645,1.0,1.0,0.7938605478809526,0.8245507487446319,0.9957415358737302,,
436,right,RCA,T4,leaky,False,0.8378945444270939,2.0,2.0,0.836915579044804,0.8585069598742514,0.9968954934962587,,
436,right,RCA,T4,share,False,0.8082391814841909,1.0,1.0,0.8102957418198551,0.8162535443720293,0.9959103025868156,,
436,right,RCA,T4,leaf3,False,0.8082391814841909,1.0,1.0,0.8102957418198551,0.8162535443720293,0.9959103025868156,,
436,right,RCA,T4,apport,False,0.8082391814841909,1.0,1.0,0.8102957418198551,0.8162535443720293,0.9959103025868156,,
448,left,LAD,T1,leaky,False,0.9079908986806474,5.0,4.0,0.9597233720956418,0.9496641162918542,0.9539424947239171,0.9644788529254888,True
448,left,LAD,T1,share,False,0.796324541732154,5.0,4.0,0.9144146094674233,0.7985686500754064,0.8777666906782836,0.9644788529254888,True
